PWGTP,AGEP,GASP,GRPIP,JWAP,JWDP,JWMNP,FER,HHL,HISPEED,JWTRNS,SCH,SCHL,SEX,state
103,50,250,0,94,43,60,0,1,1,1,1,21,1,05
164,45,250,0,89,49,5,2,1,1,1,1,22,2,05
152,70,160,0,0,0,0,0,1,2,0,1,21,1,05
162,66,160,0,0,0,0,0,1,2,0,1,21,2,05
106,60,3,70,0,0,0,0,1,2,0,1,17,2,05
31,78,3,27,0,0,0,0,1,0,0,1,16,1,05
222,47,300,101,79,37,15,0,1,2,1,1,16,1,05
224,6,300,101,0,0,0,0,1,2,0,2,3,2,05
295,8,300,101,0,0,0,0,1,2,0,2,5,1,05
295,7,300,101,0,0,0,0,1,2,0,2,4,1,05
190,30,300,101,133,85,15,2,1,2,1,1,13,2,05
75,51,3,0,97,55,15,0,1,1,1,1,21,1,05
48,50,3,0,0,0,0,2,1,1,0,1,22,2,05
90,18,3,0,0,0,0,0,1,1,0,3,15,1,05
98,49,300,101,0,0,0,2,1,1,0,1,19,2,05
79,52,300,101,0,0,0,0,1,1,0,1,16,1,05
130,12,300,101,0,0,0,0,1,1,0,3,8,1,05
21,69,10,0,80,36,25,0,1,0,1,1,16,1,05
89,20,3,101,85,43,15,0,1,1,1,2,19,1,05
362,74,130,28,85,46,3,0,1,1,1,1,12,2,05
177,40,130,28,267,144,10,0,1,1,1,1,16,1,05
339,41,70,26,0,0,0,0,1,1,11,1,17,1,05
233,35,70,26,186,112,10,2,1,1,1,1,17,2,05
83,10,70,26,0,0,0,0,1,1,0,2,7,1,05
97,4,70,26,0,0,0,0,1,1,0,2,2,1,05
11,72,60,0,0,0,0,0,1,2,0,1,19,1,05
5,64,60,0,172,97,90,0,1,2,1,1,17,2,05
130,52,50,0,0,0,0,0,1,2,0,1,17,2,05
159,51,50,0,119,79,5,0,1,2,1,1,17,1,05
71,66,20,0,0,0,0,0,1,1,0,1,19,1,05
123,48,3,0,76,31,30,0,1,1,1,1,18,1,05
71,2,3,0,0,0,0,0,1,1,0,0,0,1,05
21,41,300,66,94,53,10,0,1,1,1,1,17,1,05
21,37,300,66,0,0,0,2,1,1,0,1,16,2,05
17,15,300,66,0,0,0,2,1,1,0,2,13,2,05
18,7,300,66,0,0,0,0,1,1,0,2,5,2,05
33,4,300,66,0,0,0,0,1,1,0,2,2,2,05
17,15,300,66,0,0,0,2,1,1,0,2,13,2,05
21,13,300,66,0,0,0,0,1,1,0,2,11,1,05
56,50,3,0,0,0,0,0,2,2,11,1,9,1,05
57,46,3,0,0,0,0,2,2,2,0,1,12,2,05
60,21,3,0,86,43,20,2,2,2,1,1,19,2,05
271,58,90,101,83,43,5,0,1,2,1,1,13,1,05
86,48,3,34,92,49,20,0,1,2,1,1,12,1,05
222,88,30,0,0,0,0,0,1,2,0,1,21,1,05
134,56,120,0,79,40,3,0,1,1,1,1,21,2,05
128,55,120,0,178,106,30,0,1,1,1,1,16,1,05
208,61,140,0,67,25,15,0,1,0,1,1,14,1,05
44,61,90,0,94,55,2,0,1,2,1,1,21,1,05
50,70,90,0,99,55,25,0,1,2,1,1,16,1,05
51,44,250,0,70,19,60,2,1,1,1,1,21,2,05
50,44,250,0,103,61,18,0,1,1,1,1,17,1,05
28,11,250,0,0,0,0,0,1,1,0,2,7,1,05
29,9,250,0,0,0,0,0,1,1,0,2,5,1,05
29,8,250,0,0,0,0,0,1,1,0,2,4,1,05
112,53,100,0,88,43,30,0,1,1,1,1,24,2,05
117,58,100,0,0,0,0,0,1,1,0,1,21,2,05
177,43,3,0,97,55,15,0,1,1,1,1,22,1,05
151,46,3,0,90,49,10,2,1,1,1,1,22,2,05
119,17,3,0,0,0,0,0,1,1,0,2,14,1,05
70,14,3,0,0,0,0,0,1,1,0,2,11,1,05
54,68,90,0,0,0,0,0,1,2,0,1,19,2,05
591,21,3,24,150,94,10,0,1,1,1,2,20,1,05
91,56,120,0,0,0,0,0,1,1,0,1,16,1,05
117,59,120,0,94,37,90,0,1,1,1,1,13,2,05
187,25,3,14,98,55,20,2,2,1,1,1,16,2,05
195,27,3,14,85,43,15,0,2,1,1,1,16,1,05
132,81,3,48,0,0,0,0,1,0,0,1,12,2,05
52,47,50,0,94,49,30,0,1,1,1,1,16,1,05
128,41,230,0,0,0,0,2,1,1,11,1,24,2,05
140,39,230,0,90,49,10,0,1,1,1,1,21,1,05
164,10,230,0,0,0,0,0,1,1,0,2,8,2,05
165,8,230,0,0,0,0,0,1,1,0,2,4,2,05
152,5,230,0,0,0,0,0,1,1,0,3,2,1,05
44,81,3,0,0,0,0,0,1,2,0,1,19,2,05
8,45,30,0,0,0,0,0,1,1,0,3,20,1,05
18,37,30,0,162,99,20,2,1,1,1,1,16,2,05
16,9,30,0,0,0,0,0,1,1,0,2,6,1,05
108,21,3,0,100,55,32,2,1,1,1,1,21,2,05
108,60,30,0,0,0,0,0,1,1,11,1,18,1,05
91,57,30,0,103,61,15,0,1,1,1,1,16,2,05
120,75,30,0,0,0,0,0,1,1,0,1,10,2,05
77,57,100,0,0,0,0,0,1,2,0,1,16,1,05
37,66,100,0,0,0,0,0,1,2,0,1,17,2,05
33,65,100,0,100,55,30,0,1,2,1,1,16,1,05
80,70,3,0,0,0,0,0,2,2,0,1,18,2,05
107,57,3,0,82,37,30,0,2,2,1,1,18,1,05
384,39,10,23,76,34,16,0,1,1,1,1,21,1,05
361,39,10,23,0,0,0,2,1,1,11,1,22,2,05
317,10,10,23,0,0,0,0,1,1,0,2,7,1,05
419,7,10,23,0,0,0,0,1,1,0,2,5,2,05
13,31,3,0,93,49,25,0,1,1,1,1,21,1,05
11,31,3,0,77,31,36,2,1,1,1,1,21,2,05
14,4,3,0,0,0,0,0,1,1,0,3,1,1,05
12,1,3,0,0,0,0,0,1,1,0,0,0,1,05
348,39,3,0,269,146,5,2,2,0,1,1,20,2,05
294,34,3,0,81,40,10,0,2,0,1,1,4,1,05
114,7,3,0,0,0,0,0,2,0,0,2,3,2,05
138,7,3,0,0,0,0,0,2,0,0,2,3,1,05
76,68,3,45,134,85,20,0,1,1,1,1,19,2,05
27,64,3,0,79,37,15,0,1,1,1,1,16,1,05
31,61,3,0,0,0,0,0,1,1,0,1,21,2,05
41,33,3,0,0,0,0,2,1,1,11,1,21,2,05
44,13,3,0,0,0,0,0,1,1,0,2,10,1,05
53,37,110,0,83,43,5,0,1,2,1,1,17,1,05
149,50,110,0,74,35,3,2,1,2,1,1,21,2,05
100,13,110,0,0,0,0,0,1,2,0,2,9,2,05
86,61,110,0,83,43,5,0,1,2,1,1,16,1,05
88,55,110,0,0,0,0,0,1,2,0,2,19,2,05
351,30,200,101,156,97,10,2,2,1,1,1,16,2,05
176,6,200,101,0,0,0,0,2,1,0,1,1,1,05
420,1,200,101,0,0,0,0,2,1,0,0,0,2,05
82,51,3,13,91,49,15,0,1,1,1,1,24,1,05
65,63,1600,0,0,0,0,0,1,1,0,1,17,1,05
72,57,1600,0,102,58,25,0,1,1,1,1,16,2,05
43,30,500,0,183,98,144,2,1,1,1,1,20,2,05
86,5,500,0,0,0,0,0,1,1,0,3,3,1,05
38,67,3,0,0,0,0,0,1,1,0,1,16,1,05
42,69,3,0,116,73,20,0,1,1,1,1,16,2,05
138,58,50,0,93,52,10,0,1,1,1,1,22,1,05
126,59,50,0,209,124,8,0,1,1,1,1,22,2,05
178,29,50,0,0,0,0,0,1,1,11,2,16,1,05
263,88,3,36,0,0,0,0,1,0,0,1,16,2,05
210,53,20,0,87,41,38,0,1,2,1,1,16,2,05
217,57,20,0,105,64,10,0,1,2,1,1,21,1,05
340,33,3,0,88,43,30,0,1,1,1,1,16,1,05
210,31,3,0,83,40,20,2,1,1,1,1,21,2,05
313,10,3,0,0,0,0,0,1,1,0,2,6,2,05
311,7,3,0,0,0,0,0,1,1,0,2,3,2,05
366,3,3,0,0,0,0,0,1,1,0,1,1,2,05
108,75,3,0,93,52,10,0,1,1,1,1,24,1,05
216,85,40,0,0,0,0,0,1,1,0,1,21,2,05
256,64,40,0,0,0,0,0,1,1,0,1,19,2,05
257,62,40,0,95,55,5,0,1,1,1,1,20,2,05
446,45,40,0,0,0,0,2,1,1,0,1,20,2,05
17,67,3,0,0,0,0,0,1,2,0,1,19,1,05
28,62,3,0,0,0,0,0,1,2,0,1,17,2,05
90,93,90,0,0,0,0,0,1,0,0,1,22,2,05
43,66,50,0,0,0,0,0,1,1,0,1,16,2,05
103,28,3,50,0,0,0,0,1,0,0,1,16,1,05
96,88,20,0,0,0,0,0,1,1,0,1,21,2,05
61,67,3,0,0,0,0,0,1,0,0,1,16,1,05
223,34,70,0,74,31,20,0,1,1,1,1,22,1,05
247,29,70,0,0,0,0,2,1,1,11,1,21,2,05
190,1,70,0,0,0,0,0,1,1,0,0,0,1,05
320,77,4,0,0,0,0,0,1,1,0,1,22,1,05
240,72,4,0,0,0,0,0,1,1,0,1,22,2,05
10,58,3,0,109,61,45,0,1,1,1,1,20,2,05
16,59,3,0,0,0,0,0,1,1,0,1,21,1,05
197,62,200,0,93,49,25,0,1,1,1,1,22,2,05
261,32,200,0,77,31,35,0,1,1,1,1,20,1,05
260,31,200,0,83,43,6,0,1,1,1,1,19,1,05
37,47,3,0,70,25,30,0,1,1,1,1,20,1,05
100,45,3,0,89,47,15,2,1,1,1,1,18,2,05
49,18,3,0,0,0,0,0,1,1,0,1,16,1,05
49,14,3,0,0,0,0,0,1,1,0,2,10,1,05
90,64,3,0,159,97,25,0,1,2,1,1,18,2,05
233,64,10,0,75,29,35,0,3,1,1,2,20,2,05
45,33,20,0,75,28,40,2,1,1,1,1,19,2,05
38,37,20,0,60,19,10,0,1,1,1,1,17,1,05
176,81,3,0,0,0,0,0,1,0,0,1,19,2,05
162,79,3,0,0,0,0,0,1,0,0,1,19,1,05
61,23,3,84,66,27,3,2,1,2,1,1,19,2,05
39,1,3,84,0,0,0,0,1,2,0,0,0,2,05
57,20,3,84,0,0,0,0,1,2,0,1,14,1,05
75,42,3,84,0,0,0,2,1,2,0,1,19,2,05
78,69,3,0,0,0,0,0,1,1,0,1,22,2,05
63,71,3,0,0,0,0,0,1,1,0,1,18,1,05
24,33,80,0,91,43,45,0,1,2,1,1,16,1,05
27,30,80,0,0,0,0,2,1,2,0,1,16,2,05
24,55,3,101,0,0,0,0,1,0,0,1,16,2,05
70,69,90,0,0,0,0,0,1,1,0,1,16,2,05
100,72,90,0,0,0,0,0,1,1,0,1,13,1,05
53,70,80,49,0,0,0,0,1,1,0,1,18,2,05
47,26,3,30,82,37,30,2,1,1,1,1,21,2,05
88,30,3,30,0,0,0,0,1,1,0,1,19,1,05
79,5,3,30,0,0,0,0,1,1,0,2,2,2,05
68,1,3,30,0,0,0,0,1,1,0,0,0,1,05
65,76,3,0,0,0,0,0,1,1,0,1,18,2,05
20,89,3,0,0,0,0,0,1,0,0,1,16,1,05
28,77,3,0,0,0,0,0,1,0,0,1,11,2,05
14,51,100,0,89,43,35,0,1,1,1,1,19,2,05
22,21,100,0,185,109,35,2,1,1,1,2,19,2,05
60,50,30,0,0,0,0,2,1,1,11,1,21,2,05
50,51,30,0,0,0,0,0,1,1,11,1,21,1,05
